,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
35,Mataura,87,NZ,1559779694,80,-46.19,168.86,47.39,9.91
36,Seoul,20,KR,1559779531,77,37.57,126.98,71.6,1.12
37,Quatre Cocos,40,MU,1559779512,78,-20.21,57.76,72.0,19.46
38,Richards Bay,54,ZA,1559779698,72,-28.77,32.06,73.13,17.05
39,Yar-Sale,100,RU,1559779699,94,66.83,70.83,34.07,11.14
40,Carnarvon,41,ZA,1559779494,70,-30.97,22.13,41.63,8.25
41,Clyde River,20,CA,1559779429,93,70.47,-68.59,37.4,12.75
42,West Wendover,1,US,1559779703,25,40.74,-114.07,84.2,8.05
43,Mount Gambier,40,AU,1559779599,100,-37.83,140.78,51.8,9.17
44,Upernavik,100,GL,1559779705,73,72.79,-56.15,40.91,2.33
45,Tuktoyaktuk,40,CA,1559779706,50,69.44,-133.03,55.4,9.17
46,Yellowknife,75,CA,1559779428,50,62.45,-114.38,51.8,14.99
47,Srivardhan,77,IN,1559779442,81,18.03,73.02,83.39,2.93
48,Hilo,90,US,1559779710,88,19.71,-155.08,79.0,5.82
49,Jamestown,0,AU,1559779711,67,-33.21,138.6,48.47,4.52
50,Sur,0,OM,1559779712,45,22.57,59.53,90.95,11.7
51,Tahe,5,CN,1559779713,51,52.34,124.71,69.35,3.67
52,Naze,75,NG,1559779715,100,5.43,7.07,69.8,6.17
53,Namatanai,63,PG,1559779716,82,-3.66,152.44,81.77,8.43
54,Ganta,94,LR,1559779717,99,7.31,-8.54,70.25,2.89
55,Santa Maria,0,BR,1559779719,100,-29.69,-53.81,55.4,2.24
56,Chuy,96,UY,1559779720,72,-33.69,-53.46,64.49,18.12
57,Hagere Selam,95,ET,1559779721,98,6.48,38.52,50.63,1.61
58,Saquarema,75,BR,1559779723,94,-22.93,-42.51,68.0,5.82
59,Lebu,20,ET,1559779724,72,8.96,38.73,59.0,4.7
60,Bambous Virieux,40,MU,1559779725,78,-20.34,57.76,72.0,19.46
61,Sapa,40,PH,1559779726,79,14.32,120.76,89.01,6.93
62,Kruisfontein,66,ZA,1559779727,86,-34.0,24.73,51.53,13.47
63,Gwadar,98,PK,1559779729,80,25.12,62.33,86.09,5.3
64,Qaanaaq,96,GL,1559779730,78,77.48,-69.36,27.05,1.19
65,Makakilo City,40,US,1559779731,48,21.35,-158.09,87.8,17.22
66,Portland,75,US,1559779590,55,45.52,-122.67,66.2,3.36
67,Arraial do Cabo,96,BR,1559779509,66,-22.97,-42.02,71.51,7.96
68,Chontalpa,82,MX,1559779735,68,17.7,-93.52,91.31,5.44
69,Busselton,100,AU,1559779736,16,-33.64,115.35,66.0,37.92
70,Avera,75,US,1559779737,94,33.19,-82.53,77.0,3.36
71,Englewood,75,US,1559779553,40,39.65,-104.99,75.99,8.05
72,Morro Bay,75,US,1559779740,82,35.37,-120.85,93.0,5.82
73,Tilichiki,62,RU,1559779741,57,60.47,166.1,55.67,9.48
74,Newport,83,GB,1559779605,87,51.59,-3.0,54.0,9.17
75,Zirandaro,86,MX,1559779743,41,18.45,-100.98,90.59,5.97
76,Severo-Yeniseyskiy,58,RU,1559779745,42,60.37,93.04,62.87,1.9
77,Fallon,1,US,1559779746,22,46.84,-105.12,80.6,18.34
78,New Norfolk,75,AU,1559779747,58,-42.78,147.06,57.99,4.7
79,Adet,100,ET,1559779748,87,11.26,37.49,63.23,2.57
80,Burdur,0,TR,1559779750,47,37.72,30.29,57.2,6.93
81,Mackay,75,CA,1559779630,81,53.65,-115.58,59.0,10.29
82,Leningradskiy,41,RU,1559779752,88,69.38,178.42,34.61,4.14
83,Svetlaya,67,RU,1559779753,69,46.54,138.33,55.31,3.98
84,Salalah,40,OM,1559779754,79,17.01,54.1,86.0,6.93
85,Pincher Creek,20,CA,1559779756,19,49.49,-113.95,71.6,17.78
86,Manggar,90,ID,1559779757,84,-2.88,108.27,81.41,5.17
87,San Jose,100,PH,1559779459,58,15.79,120.99,86.27,7.72
88,Provideniya,75,RU,1559779759,81,64.42,-173.23,42.8,11.18
89,Mehamn,10,NO,1559779760,75,71.03,27.85,42.89,5.88
90,Caravelas,43,BR,1559779761,72,-17.73,-39.27,74.93,11.23
91,Nong Phai,100,TH,1559779763,86,16.0,101.06,79.25,2.71
92,Dawei,97,MM,1559779764,76,14.07,98.19,82.85,3.58
93,Nikolskoye,0,RU,1559779765,72,59.7,30.79,60.8,1.01
94,Rocha,99,UY,1559779766,83,-34.48,-54.34,56.93,12.17
95,Praia,0,BR,1559779768,63,-20.25,-43.81,62.6,5.82
96,Korem,20,ET,1559779769,46,12.51,39.52,60.35,3.49
97,Navalcarnero,0,ES,1559779770,35,40.29,-4.01,59.0,4.7
98,Kaitangata,92,NZ,1559779772,65,-46.28,169.85,52.0,4.0
99,Bluff,100,AU,1559779773,48,-23.58,149.07,62.69,19.13
100,Apac,88,UG,1559779774,94,1.98,32.53,64.67,1.01
101,Namibe,0,AO,1559779775,66,-15.19,12.15,71.51,6.15
102,Vardo,1,US,1559779777,73,39.62,-77.74,75.99,5.82
103,Hasaki,75,JP,1559779778,78,35.73,140.83,77.0,3.36
104,Taseyevo,0,RU,1559779779,51,57.22,94.9,61.97,1.43
105,Renqiu,100,CN,1559779780,91,38.71,116.1,66.29,7.7
106,Kendari,36,ID,1559779782,86,-3.99,122.52,78.53,4.05
107,Aquiraz,20,BR,1559779783,74,-3.9,-38.39,82.4,8.05
108,Ribeira Grande,0,PT,1559779784,86,38.52,-28.7,64.67,16.67
109,Hami,92,CN,1559779785,23,42.84,93.51,76.19,11.95
110,Hithadhoo,46,MV,1559779787,79,-0.6,73.08,83.93,12.5
111,Katsuura,20,JP,1559779788,78,33.93,134.5,77.0,10.29
112,Half Moon Bay,40,US,1559779789,59,37.46,-122.43,77.0,20.8
113,Douentza,50,ML,1559779790,6,15.01,-2.95,97.43,0.76
114,Isla Mujeres,40,MX,1559779792,74,21.23,-86.73,84.2,12.75
115,Houston,90,US,1559779793,100,29.76,-95.37,79.0,10.29
116,Puerto Ayora,20,EC,1559779794,61,-0.74,-90.35,80.6,16.11
117,Poum,23,MK,1559779527,96,41.28,20.71,50.09,2.91
118,Lagoa,0,PT,1559779751,59,37.14,-8.45,61.0,13.87
119,Kahului,75,US,1559779580,62,20.89,-156.47,88.0,13.87
120,Nome,90,US,1559779799,88,30.04,-94.42,77.0,12.75
121,Rawson,0,AR,1559779522,37,-43.3,-65.11,54.95,10.38
122,Buchanan,75,LR,1559779804,88,5.88,-10.05,78.8,6.6
123,Kodiak,1,US,1559779806,68,39.95,-94.76,89.6,8.05
124,Itarema,48,BR,1559779807,83,-2.92,-39.92,78.17,7.14
125,Bani,100,PH,1559779809,69,15.89,120.27,84.83,6.82
126,Bud,96,NO,1559779810,87,62.91,6.91,53.6,5.82
127,Saint George,40,GR,1559779811,100,39.45,22.34,62.6,3.76
128,Poya,100,NC,1559779812,67,-21.35,165.16,72.95,13.58
129,Ucluelet,75,CA,1559779814,82,48.94,-125.55,59.0,8.05
130,Carthage,90,US,1559779607,83,32.16,-94.34,77.0,4.63
131,Touros,20,BR,1559779775,88,-5.2,-35.46,77.0,3.36
132,Brodnica,64,PL,1559779817,75,53.26,19.4,72.0,9.82
133,Benghazi,0,LY,1559779818,55,32.12,20.07,72.95,6.35
134,Dikson,0,RU,1559779820,91,73.51,80.55,31.19,2.44
135,Avarua,4,CK,1559779821,69,-21.21,-159.78,78.8,12.75
136,Butaritari,46,KI,1559779822,79,3.07,172.79,85.19,16.24
137,Husavik,100,CA,1559779823,26,50.56,-96.99,69.01,7.11
138,Bowen,100,AU,1559779824,48,-20.01,148.25,64.99,14.99
139,Khatanga,27,RU,1559779826,54,71.98,102.47,53.15,4.72
140,Kutum,100,SD,1559779652,48,14.2,24.66,80.33,10.63
141,Mayo,90,CA,1559779828,29,63.59,-135.9,62.6,5.82
142,Lagoa Vermelha,0,BR,1559779800,87,-28.21,-51.53,53.51,6.38
143,Bekhtery,6,UA,1559779830,80,46.25,32.3,67.55,10.54
144,Maseru,50,LS,1559779831,51,-29.31,27.48,39.83,1.45
145,Barkot,21,IN,1559779833,19,30.81,78.21,61.25,6.71
146,Matay,96,EG,1559779834,37,28.42,30.79,83.39,18.03
147,Boda,75,BD,1559779835,94,26.2,88.56,78.8,3.36
148,Bonavista,64,CA,1559779837,69,48.65,-53.11,52.0,11.01
149,Constitucion,75,MX,1559779838,12,23.99,-104.67,86.0,18.97
150,Kuliyapitiya,40,LK,1559779839,94,7.47,80.04,80.6,4.7
151,Hofn,100,IS,1559779840,83,64.25,-15.21,29.93,20.04
152,Zhigansk,33,RU,1559779841,55,66.77,123.37,61.97,8.86
153,Beyneu,0,KZ,1559779843,29,45.32,55.19,69.35,9.4
154,Uvat,40,RU,1559779844,63,59.14,68.9,57.29,8.08
155,Iqaluit,90,CA,1559779845,70,63.75,-68.52,42.8,8.05
156,Ciudad Bolivar,100,VE,1559779745,55,8.12,-63.55,86.99,5.12
157,Ust-Koksa,100,RU,1559779847,77,50.27,85.62,46.31,5.84
158,Sibu,75,MY,1559779849,94,2.29,111.83,77.0,5.82
159,Vaitape,11,PF,1559779850,79,-16.52,-151.75,81.59,18.86
160,Nantucket,90,US,1559779836,93,41.28,-70.1,64.99,17.22
161,Tanout,99,NE,1559779852,15,14.97,8.88,98.69,11.5
162,Norman Wells,75,CA,1559779853,66,65.28,-126.83,48.2,8.05
163,Muyuka,75,CM,1559779624,94,4.29,9.41,73.4,3.36
164,Banda Aceh,100,ID,1559779856,75,5.56,95.32,83.93,8.14
165,Burnie,100,AU,1559779857,61,-41.05,145.91,54.0,7.0
166,Isangel,90,VU,1559779858,78,-19.55,169.27,78.8,9.17
167,San Patricio,0,PY,1559779859,86,-26.98,-56.83,58.91,7.58
168,Port Elizabeth,1,US,1559779861,88,39.31,-74.98,80.6,11.03
169,Vanino,0,RU,1559779862,86,53.93,40.55,48.0,1.66
170,Rome,0,IT,1559779739,88,41.89,12.48,64.99,3.36
171,Yangambi,100,CD,1559779864,70,0.77,24.47,69.89,1.05
172,Mariinsk,68,RU,1559779796,61,56.21,87.75,59.63,9.17
173,Chernyshevskiy,89,RU,1559779867,45,63.01,112.47,63.41,3.69
174,Saskylakh,0,RU,1559779868,42,71.97,114.09,45.95,8.34
175,Fortuna,0,ES,1559779783,37,38.18,-1.13,70.0,5.82
176,Saint-Pierre,90,FR,1559779871,93,48.95,4.24,51.8,11.41
177,Ponta Delgada,20,PT,1559779872,82,37.73,-25.67,62.6,14.99
178,Maragogi,81,BR,1559779873,92,-9.01,-35.22,73.67,2.46
179,Lasa,0,CY,1559779874,55,34.92,32.53,71.6,3.02
180,Kindu,0,CD,1559779876,72,-2.95,25.92,67.37,2.04
181,Khilok,27,RU,1559779877,51,51.36,110.46,51.53,3.44
182,Tommot,36,RU,1559779878,52,58.97,126.27,73.13,2.82
183,Mahibadhoo,100,MV,1559779580,77,3.78,72.97,85.01,20.02
184,Luderitz,22,NA,1559779880,82,-26.65,15.16,55.4,12.75
185,Vao,0,EE,1559779882,82,59.1,26.19,63.41,4.32
186,Lompoc,75,US,1559779734,82,34.64,-120.46,75.0,5.82
187,Manokwari,32,ID,1559779884,66,-0.87,134.08,80.51,4.18
188,Guerrero Negro,3,MX,1559779885,87,27.97,-114.04,64.85,13.71
189,Kisangani,32,CD,1559779887,69,0.52,25.21,70.07,1.39
190,Ankang,49,CN,1559779888,69,32.73,108.99,67.91,2.26
191,Noumea,0,NC,1559779889,64,-22.28,166.46,73.4,4.7
192,Shimoda,75,JP,1559779890,83,34.7,138.93,75.0,3.36
193,Sisimiut,52,GL,1559779891,54,66.94,-53.67,46.49,7.78
194,Vendome,75,US,1559779893,29,45.82,-112.24,81.0,11.41
195,Sicamous,40,CA,1559779894,28,50.84,-118.99,69.8,2.24
196,Cherskiy,94,RU,1559779895,31,68.75,161.3,43.79,6.31
197,Norilsk,0,RU,1559779896,80,69.35,88.2,39.2,15.66
198,Gerash,0,IR,1559779735,26,27.67,54.14,84.47,1.34
199,Port Alfred,56,ZA,1559779898,78,-33.59,26.89,57.0,7.0
200,Camapua,0,BR,1559779900,64,-19.53,-54.04,57.29,7.18
201,Nanchang,28,CN,1559779901,75,28.68,115.89,81.05,10.4
202,Taltal,91,CL,1559779902,68,-25.41,-70.49,61.07,5.23
203,Tabas,0,IR,1559779904,20,33.6,56.92,82.4,6.93
204,Iracoubo,0,GF,1559779905,87,5.48,-53.21,77.99,4.81
205,Palmer,75,AU,1559779906,62,-34.85,139.16,55.99,3.36
206,Dwarka,20,IN,1559779907,40,28.58,77.04,89.6,6.85
207,Kavieng,73,PG,1559779909,73,-2.57,150.8,85.19,8.48
208,Gizo,0,IL,1559779910,69,31.8,34.94,80.01,5.82
209,Bahia Blanca,100,AR,1559779911,61,-38.72,-62.27,56.39,5.21
210,Moron,100,VE,1559779674,83,10.49,-68.2,78.53,1.95
211,Bayangol,61,MN,1559779914,71,48.91,106.09,50.63,12.84
212,Along,96,IN,1559779915,85,28.17,94.8,60.35,3.02
213,Felanitx,20,ES,1559779916,46,39.47,3.15,69.8,1.12
214,Peace River,75,CA,1559779917,44,56.23,-117.29,59.0,9.17
215,Matagami,93,NG,1559779919,96,9.67,8.4,70.79,6.71
216,Baryatino,0,RU,1559779920,94,54.31,34.52,55.67,3.85
217,Marzuq,0,YE,1559779921,44,14.4,46.47,79.07,5.77
218,Hermanus,54,ZA,1559779922,99,-34.42,19.24,51.01,5.99
219,Pacific Grove,1,US,1559779725,47,36.62,-121.92,87.01,18.34
220,Ahipara,52,NZ,1559779925,94,-35.17,173.16,61.0,25.08
221,Odienne,100,CI,1559779926,89,9.51,-7.57,74.93,5.37
222,Faanui,11,PF,1559779927,79,-16.48,-151.75,81.59,18.86
223,Lodwar,25,KE,1559779929,47,3.12,35.6,84.65,2.48
224,Menomonie,1,US,1559779930,50,44.88,-91.92,81.0,4.61
225,Yarkovo,0,RU,1559779931,67,54.81,82.6,60.8,4.47
226,Thompson,75,CA,1559779693,67,55.74,-97.86,59.0,2.24
227,San Policarpo,99,PH,1559779933,74,12.18,125.51,84.83,8.81
228,Loukhi,39,RU,1559779935,81,66.08,33.04,43.25,6.87
229,Mar del Plata,37,AR,1559779936,54,-46.43,-67.52,49.01,18.88
230,Savannah Bight,58,HN,1559779937,80,16.45,-85.85,84.29,24.61
231,Fairbanks,40,US,1559779938,29,64.84,-147.72,69.01,6.93
232,La Ronge,40,CA,1559779673,34,55.1,-105.3,66.2,12.75
233,Tasiilaq,0,GL,1559779941,60,65.61,-37.64,37.4,2.24
234,Sao Filipe,0,CV,1559779942,84,14.9,-24.5,74.39,11.79
235,Barrow,100,AR,1559779943,87,-38.31,-60.23,55.31,8.1
236,Outjo,0,NA,1559779944,32,-20.11,16.16,55.4,2.24
237,Torbay,75,CA,1559779946,58,47.66,-52.73,55.4,16.11
238,Georgetown,40,GY,1559779947,83,6.8,-58.16,82.4,11.41
239,Rio Gallegos,0,AR,1559779861,71,-51.62,-69.22,39.2,6.93
240,Changji,85,CN,1559779950,82,32.07,116.17,75.11,19.17
241,Ilulissat,5,GL,1559779951,60,69.22,-51.1,42.8,4.7
242,Kuytun,12,RU,1559779952,77,54.34,101.51,55.31,3.51
243,Villaviciosa,40,ES,1559779953,87,43.48,-5.43,51.8,5.82
244,Walvis Bay,0,NA,1559779665,93,-22.95,14.51,54.0,6.93
245,Puerto Padre,75,CU,1559779955,78,21.2,-76.61,80.6,6.93
246,Saint-Philippe,75,CA,1559779957,72,45.36,-73.48,63.0,3.36
247,San Vicente,75,SV,1559779701,83,13.64,-88.78,84.2,6.93
248,Moose Factory,1,CA,1559779960,75,51.26,-80.61,44.6,11.41
249,Tirano,75,IT,1559779746,93,46.22,10.17,64.99,1.12
250,Tiksi,0,RU,1559779962,73,71.64,128.87,33.17,8.52
251,Quincy,1,US,1559779684,62,30.59,-84.58,89.6,6.93
252,Laguna,5,MX,1559779965,51,27.52,-110.01,86.0,8.05
253,Aykhal,0,RU,1559779966,81,65.95,111.51,51.8,2.24
254,Vieste,5,IT,1559779967,93,41.88,16.18,70.0,5.82
255,Esperance,20,TT,1559779968,74,10.24,-61.45,82.4,9.17
256,Ponta do Sol,0,BR,1559779970,90,-20.63,-46.0,53.87,5.17
257,Chimore,0,BO,1559779971,80,-16.98,-65.13,63.77,2.01
258,Mehran,0,IR,1559779972,26,33.12,46.17,71.6,6.93
259,Homer,1,US,1559779973,71,59.64,-151.54,68.0,14.99
260,Olinda,40,EC,1559779975,69,-2.03,-79.75,82.4,13.87
261,Panguna,100,PG,1559779976,72,-6.32,155.48,86.27,10.25
262,Viedma,58,AR,1559779977,37,-40.81,-62.99,57.11,12.3
263,Sawtell,0,AU,1559779978,55,-30.38,153.1,62.6,10.29
264,Mashhad,0,IR,1559779865,45,36.3,59.61,68.0,10.63
265,Aranos,0,NA,1559779981,27,-24.14,19.11,56.03,8.55
266,Belaya Gora,1,RU,1559779982,28,68.54,146.19,52.43,6.38
267,Wanning,28,AT,1559779983,64,48.64,13.53,71.01,10.29
268,Ilhabela,16,BR,1559779844,71,-23.78,-45.36,71.69,12.93
269,Zhangjiakou,2,CN,1559779985,51,40.77,114.88,59.63,6.69
270,Hambantota,100,LK,1559779987,82,6.12,81.12,82.85,14.63
271,Am Timan,99,TD,1559779988,47,11.04,20.28,88.43,7.72
272,Alofi,75,NU,1559779989,88,-19.06,-169.92,80.6,9.17
273,Tiznit,0,MA,1559779990,79,29.7,-9.73,67.91,13.98
274,Bafq,0,IR,1559779991,21,31.6,55.4,72.41,5.41
275,Callaway,1,US,1559779993,29,46.98,-95.91,84.2,4.7
276,Launceston,90,AU,1559779994,76,-41.43,147.14,55.99,8.05
277,Cabra,0,ES,1559779995,41,37.47,-4.43,61.0,2.24
278,Qiongshan,0,CN,1559779996,88,20.01,110.35,82.4,6.71
279,Agfalva,0,HU,1559779998,82,47.69,16.52,68.0,9.17
280,Hopkinsville,1,US,1559779999,52,36.87,-87.49,89.6,6.93
281,Mungaoli,0,IN,1559780000,18,24.41,78.09,95.99,8.23
282,Guiratinga,0,BR,1559780001,50,-16.35,-53.76,67.19,5.73
283,Keetmanshoop,62,NA,1559780003,47,-26.57,18.15,55.4,3.36
284,Little Falls,90,US,1559779988,61,40.87,-74.21,82.4,12.75
285,Ornskoldsvik,91,SE,1559780005,93,63.29,18.72,51.8,3.36
286,Necochea,100,AR,1559780006,84,-38.55,-58.74,57.0,4.0
287,Somerset,1,US,1559779754,54,37.09,-84.6,84.2,6.93
288,Cockburn Town,0,TC,1559780012,79,21.46,-71.14,81.77,11.92
289,Saint-Augustin,20,FR,1559780013,93,44.83,-0.61,53.01,5.82
290,Tambilil,45,PH,1559780014,63,5.96,124.67,85.01,2.75
291,Nuevo Progreso,1,US,1559780015,58,26.05,-97.95,95.0,13.87
292,Boueni,0,YT,1559780016,74,-12.9,45.08,80.6,11.41
293,Mari-Turek,22,RU,1559780018,81,56.79,49.62,58.37,11.61
294,Beeville,1,US,1559780019,39,28.4,-97.75,96.8,3.36
295,Waingapu,81,ID,1559780020,76,-9.65,120.26,75.29,15.77
296,Kikwit,46,CD,1559780022,43,-5.04,18.82,70.07,2.82
297,Maniitsoq,99,GL,1559780023,42,65.42,-52.9,51.53,5.61
298,Sitka,49,US,1559780024,33,37.17,-99.65,84.29,5.06
299,Sao Sebastiao,2,BR,1559779872,87,-3.15,-58.36,76.37,1.59
300,Malartic,40,CA,1559780026,39,48.14,-78.13,62.6,10.29
301,Santa Cruz del Norte,75,CU,1559780028,88,23.15,-81.92,86.0,2.24
302,Sioux Lookout,75,CA,1559780029,35,50.1,-91.92,71.6,2.24
303,Solnechnyy,2,RU,1559780030,53,50.72,136.64,65.75,4.29
304,Carauari,76,BR,1559780031,95,-4.88,-66.9,74.03,0.78
305,Springfield,75,US,1559779743,61,37.22,-93.29,86.0,8.05
306,Linqiong,40,CN,1559780034,73,30.42,103.46,75.2,2.24
307,Yeniseysk,20,RU,1559780035,56,58.45,92.17,61.61,3.29
308,Amposta,20,ES,1559780037,48,40.71,0.58,64.99,4.7
309,Comodoro Rivadavia,0,AR,1559780038,54,-45.87,-67.48,55.4,9.17
310,Bosaso,86,SO,1559780039,67,11.28,49.18,88.61,10.4
311,Zhanakorgan,47,KZ,1559780040,31,43.91,67.25,66.29,11.56
312,Soubre,96,CI,1559780042,96,5.79,-6.61,71.87,3.04
313,Khotyn,0,UA,1559780043,93,48.51,26.49,62.6,3.31
314,Sao Joao dos Patos,0,BR,1559780044,66,-6.5,-43.7,71.69,1.77
315,Samarai,99,PG,1559780045,94,-10.62,150.67,76.55,8.23
316,Inhambane,0,MZ,1559780047,86,-23.87,35.38,61.43,6.6
317,Tura,94,IN,1559780048,79,25.52,90.21,77.81,5.46
318,Warwick,90,US,1559779829,88,41.7,-71.42,72.0,8.05
319,Rio Cuarto,0,AR,1559779823,82,-33.13,-64.35,55.4,3.36
320,Oussouye,0,SN,1559780052,88,12.49,-16.54,75.47,12.24
321,Eyl,100,SO,1559780053,64,7.98,49.82,80.69,19.62
322,Zambezi,6,ZM,1559780054,58,-13.55,23.12,54.59,5.26
323,Victoria,75,BN,1559780056,88,5.28,115.24,82.4,5.84
324,Kieta,97,PG,1559780057,71,-6.22,155.63,84.65,8.23
325,Matamoros,1,US,1559780058,58,25.87,-97.51,95.0,13.87
326,Puerto del Rosario,40,ES,1559780060,68,28.5,-13.86,68.0,13.87
327,Santo Domingo,75,DO,1559779963,78,18.48,-69.94,82.99,6.93
328,Vostok,90,RU,1559780062,79,46.45,135.83,63.77,3.27
329,Sabha,3,LY,1559780063,20,27.03,14.43,88.25,10.47
330,Jalu,0,LY,1559780065,31,29.03,21.55,80.51,10.89
331,Narsaq,100,GL,1559780066,65,60.91,-46.05,44.6,3.36
332,Waitati,89,NZ,1559780067,56,-45.75,170.57,50.0,3.0
333,Hirado,90,JP,1559780068,94,33.32,129.49,77.0,4.7
334,Ketchikan,75,US,1559780070,54,55.34,-131.65,66.2,18.34
335,Samagaltay,0,RU,1559780071,43,50.6,95.0,53.33,6.2
336,Cap Malheureux,40,MU,1559780072,78,-19.98,57.61,71.6,19.46
337,Santa Isabel,75,CO,1559780074,74,4.71,-75.1,78.8,3.36
338,Shiyan,47,CN,1559780075,88,32.65,110.78,66.83,3.0
339,Mutoko,0,ZW,1559780077,60,-17.4,32.23,53.69,2.04
340,Chicama,90,PE,1559780078,82,-7.84,-79.15,68.0,8.05
341,Romny,35,UA,1559780079,90,50.74,33.49,59.09,8.19
342,Listvyanka,0,RU,1559780080,71,51.86,104.86,53.6,6.71
343,Havre-Saint-Pierre,20,CA,1559780081,76,50.23,-63.6,48.2,11.41
344,Ostrovnoy,0,RU,1559780082,83,68.05,39.51,38.75,4.36
345,Sao Jose da Coroa Grande,81,BR,1559780084,92,-8.9,-35.15,73.67,2.46
346,Bathsheba,20,BB,1559780085,74,13.22,-59.52,82.4,13.87
347,Anadyr,0,RU,1559780086,62,64.73,177.51,55.4,8.95
348,Izumo,0,JP,1559780088,60,35.37,132.75,71.6,4.7
349,Akashi,40,JP,1559780089,78,34.68,134.95,78.01,3.36
350,Blairmore,90,CA,1559780090,29,49.61,-114.44,71.6,18.34
351,Yulara,0,AU,1559780091,50,-25.24,130.99,46.4,18.34
352,Berlevag,1,NO,1559780092,82,70.86,29.09,41.27,9.48
353,Normandin,40,CA,1559780094,50,48.84,-72.53,57.2,2.24
354,Bethanien,62,NA,1559780095,63,-26.5,17.16,52.07,1.36
355,Chimbote,9,PE,1559780096,89,-9.08,-78.59,63.23,15.19
356,Nanortalik,100,GL,1559780098,65,60.14,-45.24,40.55,22.19
357,Vitry-le-Francois,90,FR,1559779837,81,48.73,4.58,53.01,13.87
358,Laksham,100,BD,1559780100,88,23.25,91.14,78.17,7.0
359,Tuatapere,78,NZ,1559780101,68,-46.13,167.69,50.81,31.52
360,Kalemie,0,CD,1559779904,82,-5.95,29.2,61.25,2.39
361,Tabou,85,CI,1559780104,87,4.42,-7.36,75.83,2.91
362,Ixtapa,90,MX,1559780105,78,20.71,-105.21,78.8,11.41
363,Sukumo,99,JP,1559780106,71,32.94,132.72,78.17,1.92
364,Giresun,75,TR,1559780107,94,40.91,38.39,71.6,3.36
365,Phangnga,20,TH,1559780109,88,8.45,98.53,77.0,2.57
366,Lehre,0,DE,1559780110,56,52.33,10.67,75.0,8.05
367,Healesville,90,AU,1559779900,87,-37.65,145.52,55.99,11.41
368,Tutoia,68,BR,1559780112,93,-2.76,-42.27,74.93,1.9
369,Sevlievo,94,BG,1559780114,100,43.03,25.1,62.6,3.36
370,Champawat,0,IN,1559780115,31,29.34,80.09,66.83,1.72
371,Gboko,100,NG,1559780116,88,7.32,9.0,76.37,12.21
372,Albemarle,1,US,1559780117,69,35.35,-80.2,80.6,8.05
373,Cidreira,9,BR,1559780092,77,-30.17,-50.22,64.85,14.16
374,Blagoyevo,4,RU,1559780120,83,63.37,47.92,45.95,10.56
375,Palafrugell,20,ES,1559780121,81,41.92,3.16,62.01,3.36
